2026-07-07 20:23:32 | INFO    | scheduler.workbuddy:11 | 预留任务槽位: [盘中盯盘] [定时复盘] [信号推送]
2026-07-07 20:23:32 | INFO    | scheduler.monitor:16 | 盘中盯盘模块已初始化（预留）
2026-07-07 20:23:32 | INFO    | scheduler.monitor:17 | 信号推送接口已预留
2026-07-07 20:23:32 | INFO    | scheduler.monitor:18 | 定时复盘接口已预留
2026-07-07 20:23:32 | INFO    | __main__:28 | --- 模块加载完成 ---
2026-07-07 20:23:32 | INFO    | __main__:29 |   实时行情采集器      : A股实时行情采集器
2026-07-07 20:23:32 | INFO    | __main__:30 |   历史数据采集器      : A股历史量价数据采集器
2026-07-07 20:23:32 | INFO    | __main__:31 |   本地存储模块        : 就绪
2026-07-07 20:23:32 | INFO    | __main__:32 |   DeepSeek接口        : 未配置API Key
2026-07-07 20:23:32 | INFO    | __main__:33 |   数据通道            : 就绪
2026-07-07 20:23:32 | INFO    | __main__:34 |   WorkBuddy值守       : 就绪 (盘中盯盘/复盘/信号推送)
2026-07-07 20:23:32 | INFO    | __main__:35 |   盘中监控            : 就绪
2026-07-07 20:23:32 | INFO    | __main__:36 | --- 系统就绪，等待指令 ---
2026-07-07 20:24:43 | INFO    | __main__:15 | ==================================================
2026-07-07 20:24:43 | INFO    | __main__:16 | A股量能超短线交易系统 启动
2026-07-07 20:24:43 | INFO    | __main__:17 | 周期定位: 超短线 (1-5日)
2026-07-07 20:24:43 | INFO    | __main__:18 | ==================================================
2026-07-07 20:24:43 | WARNING | interface.deepseek_api:19 | DeepSeek API Key 未配置，请在 .env 文件中设置 DEEPSEEK_API_KEY
2026-07-07 20:24:43 | INFO    | scheduler.workbuddy:10 | WorkBuddy 定时值守接口已初始化
2026-07-07 20:24:43 | INFO    | scheduler.workbuddy:11 | 预留任务槽位: [盘中盯盘] [定时复盘] [信号推送]
2026-07-07 20:24:43 | INFO    | scheduler.monitor:16 | 盘中盯盘模块已初始化（预留）
2026-07-07 20:24:43 | INFO    | scheduler.monitor:17 | 信号推送接口已预留
2026-07-07 20:24:43 | INFO    | scheduler.monitor:18 | 定时复盘接口已预留
2026-07-07 20:24:43 | INFO    | __main__:28 | --- 模块加载完成 ---
2026-07-07 20:24:43 | INFO    | __main__:29 |   实时行情采集器      : A股实时行情采集器
2026-07-07 20:24:43 | INFO    | __main__:30 |   历史数据采集器      : A股历史量价数据采集器
2026-07-07 20:24:43 | INFO    | __main__:31 |   本地存储模块        : 就绪
2026-07-07 20:24:43 | INFO    | __main__:32 |   DeepSeek接口        : 未配置API Key
2026-07-07 20:24:43 | INFO    | __main__:33 |   数据通道            : 就绪
2026-07-07 20:24:43 | INFO    | __main__:34 |   WorkBuddy值守       : 就绪 (盘中盯盘/复盘/信号推送)
2026-07-07 20:24:43 | INFO    | __main__:35 |   盘中监控            : 就绪
2026-07-07 20:24:43 | INFO    | __main__:36 | --- 系统就绪，等待指令 ---
2026-07-07 20:25:04 | INFO    | __main__:15 | ==================================================
2026-07-07 20:25:04 | INFO    | __main__:16 | A股量能超短线交易系统 启动
2026-07-07 20:25:04 | INFO    | __main__:17 | 周期定位: 超短线 (1-5日)
2026-07-07 20:25:04 | INFO    | __main__:18 | ==================================================
2026-07-07 20:25:04 | WARNING | interface.deepseek_api:19 | DeepSeek API Key 未配置，请在 .env 文件中设置 DEEPSEEK_API_KEY
2026-07-07 20:25:04 | INFO    | scheduler.workbuddy:10 | WorkBuddy 定时值守接口已初始化
2026-07-07 20:25:04 | INFO    | scheduler.workbuddy:11 | 预留任务槽位: [盘中盯盘] [定时复盘] [信号推送]
2026-07-07 20:25:04 | INFO    | scheduler.monitor:16 | 盘中盯盘模块已初始化（预留）
2026-07-07 20:25:04 | INFO    | scheduler.monitor:17 | 信号推送接口已预留
2026-07-07 20:25:04 | INFO    | scheduler.monitor:18 | 定时复盘接口已预留
2026-07-07 20:25:04 | INFO    | __main__:28 | --- 模块加载完成 ---
2026-07-07 20:25:04 | INFO    | __main__:29 |   实时行情采集器      : A股实时行情采集器
2026-07-07 20:25:04 | INFO    | __main__:30 |   历史数据采集器      : A股历史量价数据采集器
2026-07-07 20:25:04 | INFO    | __main__:31 |   本地存储模块        : 就绪
2026-07-07 20:25:04 | INFO    | __main__:32 |   DeepSeek接口        : 未配置API Key
2026-07-07 20:25:04 | INFO    | __main__:33 |   数据通道            : 就绪
2026-07-07 20:25:04 | INFO    | __main__:34 |   WorkBuddy值守       : 就绪 (盘中盯盘/复盘/信号推送)
2026-07-07 20:25:04 | INFO    | __main__:35 |   盘中监控            : 就绪
2026-07-07 20:25:04 | INFO    | __main__:36 | --- 系统就绪，等待指令 ---
2026-07-07 20:25:48 | INFO    | __main__:15 | ==================================================
2026-07-07 20:25:48 | INFO    | __main__:16 | A股量能超短线交易系统 启动
2026-07-07 20:25:48 | INFO    | __main__:17 | 周期定位: 超短线 (1-5日)
2026-07-07 20:25:48 | INFO    | __main__:18 | ==================================================
2026-07-07 20:25:48 | WARNING | interface.deepseek_api:19 | DeepSeek API Key 未配置，请在 .env 文件中设置 DEEPSEEK_API_KEY
