2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301068, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688392, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300228, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 600094, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688432, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 605399, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300522, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301595, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300540, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301151, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688392, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 603608, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 603313, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300228, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300540, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 603178, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300533, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 603313, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301516, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300043, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300522, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301151, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301038, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 605399, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 603823, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688595, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688176, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688802, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300533, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301038, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301045, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688813, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688802, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688362, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688176, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300145, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 600206, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300043, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688702, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688595, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688282, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688813, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300717, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301251, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300019, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688702, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688548, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300019, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 600206, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300145, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688548, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301539, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688282, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301516, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 300745, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301045, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688261, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688419, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301539, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 301251, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688362, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 603178, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688419, 12 条
2026-07-08 19:30:17 | DEBUG   | collector.history:106 | 日线历史获取成功: 688082, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600584, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 688082, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 688652, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 688652, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 603333, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 300376, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600584, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 603616, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 300717, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 603616, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 300376, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 301108, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 603823, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 300471, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600000, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 688261, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 603333, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600007, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 300745, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600004, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600009, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 300471, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600011, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 301108, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600006, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600012, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600000, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600004, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600009, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600006, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600018, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600016, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600015, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600015, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600007, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600026, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600023, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600027, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600012, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600019, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600028, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600029, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600030, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600020, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600021, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600023, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600033, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600032, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600025, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600036, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600031, 12 条
